SubjectID,Loc,Axrms,Ayrms,Azrms,Gxrms,Gyrms,Gzrms,Power_Unsprung,Power_Sprung
6,Wrist,3.690730289,4.099304983,3.664035105,33.44565979,47.56377679,38.50526759,13.76349154,12.11667437
6,Wrist,2.203113527,2.819526885,1.852686357,23.8134296,36.82840315,26.4756042,6.290371755,3.004987138
7,Wrist,1.220202414,2.047419098,1.071532646,27.63351628,39.90413039,51.17930563,1.10267823,50.08540175
7,Wrist,1.27483959,2.889829118,1.226175741,45.15352086,44.35782086,81.86547302,3.856464722,81.30114332
7,Wrist,4.643577802,5.142052841,3.111488044,41.80392042,73.2817091,42.00795761,11.16782706,15.57625909
7,Wrist,1.689465309,1.353460209,1.152142402,14.69022586,31.09261685,17.31284738,1.116105816,1.477956703
8,Wrist,1.868830794,3.822611878,1.743371583,63.3877931,95.781924,97.95111358,4.973520233,10.3894571
8,Wrist,2.083816344,4.019199115,1.783511336,72.1128263,88.09879955,134.7912047,5.299590158,36.05550504
8,Wrist,3.746211466,4.946353506,3.224677446,45.90669342,67.03439944,53.14334462,10.21605909,7.29158243
8,Wrist,2.225492402,3.322177365,1.78892655,22.95413314,33.89205551,33.32607807,4.095889831,2.420377712
9,Wrist,1.669236257,2.523208182,1.595368885,33.74306157,54.7154684,79.93378712,3.339731678,28.51677742
9,Wrist,1.895892245,3.39266629,1.490286881,43.06802641,71.99758893,111.5089285,7.592132817,37.0470787
9,Wrist,2.922582662,3.756842956,3.699685174,50.15339484,51.32004105,33.30310492,7.485796273,6.110206014
9,Wrist,2.023876971,2.823261323,2.674455076,31.06679001,43.50637628,26.7937862,5.549974836,2.78372829
10,Wrist,0.599192955,1.901361735,1.05995524,61.81297498,38.04246822,86.93981566,1.428102567,30.58644843
10,Wrist,0.879577114,2.509992671,1.344001183,69.63677991,36.02212362,103.9965563,2.08760315,92.61575706
10,Wrist,3.944226937,5.580823204,3.354929664,44.30322542,74.87729596,50.51950336,8.5991926,20.33426758
10,Wrist,2.176350864,3.167642959,1.858733686,29.2218531,62.18133405,37.93756092,3.53402498,8.017348921
11,Ankle,5.300986788,4.425287629,1.808789624,19.3372527,63.34191957,144.0917385,103.567631,231.9245487
11,Ankle,8.065284262,6.04904757,2.493618355,24.788496,76.41506513,189.3342973,280.7826972,367.8511135
11,Ankle,3.813694492,3.227861003,2.335010697,24.68584423,69.8746502,93.29517527,50.22274168,62.42147133
11,Ankle,1.022696153,0.656709242,1.629100698,14.91414543,26.7316289,17.20452013,6.567917235,2.017496223
12,Ankle,5.997350043,3.81430689,2.611611698,34.97139099,58.3724514,138.3600026,164.17663,62.98859084
12,Ankle,8.037390777,5.056943628,3.85245977,56.1202845,75.105583,179.6684125,263.2660935,65.5770133
12,Ankle,3.83088219,3.396465536,2.486816376,29.7965448,73.77726764,106.3912535,80.18118545,24.43393413
12,Ankle,1.02156539,0.603983866,1.221675332,17.48525741,36.74916202,12.03796129,5.186159917,0.361247075
13,Ankle,5.69857409,3.308688392,1.587590716,23.74227227,38.57530624,141.4498354,101.5436599,17.002841
